bibcode,mespos,nbmes,oidref,qual,upvsini,vsini,vsini_err,vsini_err_prec,vsini_prec
"2013A&A...560A..29R",2,,3112281,,,120.0,20.0,0,0
"2013A&A...560A..29R",2,,8620845,,,334.0,18.0,0,0
"2013A&A...560A..29R",2,,8622934,,,82.0,30.0,0,0
"2013A&A...560A..29R",2,,3112321,,,76.0,6.0,0,0
"2013A&A...560A..29R",2,,7893634,,,189.0,30.0,0,0
"2014A&A...564A..39S",4,,3112337,,,55.0,,,0
"2013A&A...560A..29R",2,,7812393,,,247.0,20.0,0,0
"2013A&A...560A..29R",2,,3112347,,,79.0,20.0,0,0
"2013A&A...560A..29R",2,,7893648,,,40.0,,,0
"2013A&A...560A..29R",2,,8622960,,,122.0,30.0,0,0
"2014A&A...564A..39S",4,,7893639,,,40.0,,,0
"2013A&A...560A..29R",3,,7893639,,,40.0,,,0
"2014A&A...564A..39S",4,,3112394,,,110.0,,,0
"2013A&A...560A..29R",3,,3112394,,,113.0,30.0,0,0
"2014A&A...564A..39S",4,,3112402,,,40.0,,,0
"2013A&A...560A..29R",3,,3112402,,,40.0,,,0
"2013A&A...560A..29R",2,,3112409,,,40.0,,,0
"2013A&A...560A..29R",2,,8622980,,,180.0,30.0,0,0
"2013A&A...560A..29R",2,,3112425,,,113.0,30.0,0,0
"2014A&A...564A..39S",4,,7893607,,,210.0,,,0
"2013A&A...560A..29R",3,,7893607,,,239.0,20.0,0,0
"2013A&A...560A..29R",2,,7893650,,,95.0,20.0,0,0
"2013A&A...560A..29R",3,,3112441,,,62.0,20.0,0,0
"2013A&A...560A..29R",2,,3112444,,,55.0,20.0,0,0
"2013A&A...560A..29R",2,,3107294,,,64.0,9.0,0,0
"2014A&A...564A..39S",4,,8623017,,,40.0,,,0
"2013A&A...560A..29R",2,,3588866,,,124.0,18.0,0,0
"2013A&A...560A..29R",3,,8623017,,,40.0,,,0
"2013A&A...560A..29R",3,,8623034,,,61.0,20.0,0,0
"2014A&A...564A..39S",4,,8623043,,,405.0,,,0
"2014A&A...564A..39S",4,,3115220,,,360.0,,,0
"2013A&A...560A..29R",3,,3115220,,,314.0,30.0,0,0
"2013A&A...560A..29R",2,,8623078,,,138.0,13.0,0,0
"2013A&A...560A..29R",2,,8623095,,,138.0,20.0,0,0
"2014A&A...564A..39S",4,,7834782,,,95.0,,,0
"2013A&A...560A..29R",3,,7834782,,,96.0,12.0,0,0
"1970CoKwa.189....0U",1,,5610068,D,,25.0,,32767,0
"2017AJ....153..128C",3,,5610068,,,30.0,,,1
"1970CoAsi.239....1B",2,3,5610068,D,,25.0,,32767,0
"1970CoKwa.189....0U",1,,5610343,D,,50.0,,32767,0
"1970CoAsi.239....1B",2,5,5610343,D,,50.0,,32767,0
"1970CoAsi.239....1B",1,7,5613445,D,,68.0,,32767,0
"2011ApJ...738..122C",1,,5613668,,,33.0,2.0,0,0
"2018A&A...615A..76S",1,,5344117,,,1.933,0.231,3,3
"2013A&A...560A..29R",1,,3112288,,,103.0,20.0,0,0
"2016A&A...596A..76S",3,,5344117,D,,1.7,,,1
"2016A&A...592A.156D",2,,5344117,,,1.83,0.11,2,2
"2013A&A...560A..29R",1,,7893654,,,196.0,30.0,0,0
"2014A&A...564A..39S",2,,3107240,,,80.0,,,0
"2013A&A...560A..29R",1,,3107240,,,249.0,20.0,0,0
"2021AJ....161...65N",1,,704627,,,7.9,0.5,1,1
"2009A&A...504..829G",1,,11744998,,,5.9,1.9,1,1
"2015AJ....150...10L",1,,4140160,,,10.0,,32767,1
"2007A&A...462..683M",1,,6267973,,,264.0,40.0,0,0
"2007A&A...462..683M",1,,3259891,,,199.0,10.0,0,0
"2007A&A...462..683M",1,,3256833,,,246.0,10.0,0,0
"2013A&A...560A..29R",1,,7893646,,,40.0,,,0
"2005PASJ...57...13T",1,,2819283,,,5.0,,32767,0
"2017AJ....153...21L",2,,2819283,D,,4.5,,32767,1
"2017AJ....153...21L",3,,2819283,,,4.5,,32767,1
"1970CoKwa.189....0U",4,,2819283,D,,3.0,,32767,0
"1970CoAsi.239....1B",5,1,2819283,D,,5.0,,32767,0
"2006A&A...460..695T",2,,11744998,D,,2.0,,32767,0
"2021MNRAS.508..561W",1,,622052,,,40.0,10.0,0,0
"2014A&A...562A.135S",3,,174371,,,107.0,,,0
"2013A&A...560A..29R",1,,7893644,,,434.0,32.0,0,0
"2014A&A...562A.135S",2,,174371,,,112.0,,,0
"1970CoKwa.189....0U",1,,732646,D,,100.0,,,0
"2014A&A...562A.135S",5,,959315,,,29.0,,,0
"2014A&A...562A.135S",4,,959315,,,26.0,,,0
"2014A&A...562A.135S",1,,110383,,,290.0,,,0
"1970CoAsi.239....1B",6,5,5612660,D,,50.0,,32767,0
"1970CoKwa.189....0U",5,,5612660,D,,50.0,,32767,0
"2002ApJ...573..359A",4,,5612660,D,,35.0,,32767,0
"2014A&A...562A.135S",3,,5612660,,,50.0,,32767,0
"2017A&A...597A..22S",2,,5612660,,,50.0,,32767,0
"2014A&A...562A.135S",2,,158752,,,204.0,,,0
"2014A&A...562A.135S",3,,673752,,,43.0,,,0
"2014A&A...562A.135S",4,,2550894,,,80.0,,,0
"2014A&A...562A.135S",3,,2550894,,,76.0,,,0
"2014A&A...562A.135S",4,,2809250,,,165.0,,,0
"2014A&A...562A.135S",3,,2809250,,,157.0,,,0
"2013A&A...560A..29R",3,,3112270,,,70.0,20.0,0,0
"2013A&A...560A..29R",3,,8622917,,,66.0,20.0,0,0
"2013A&A...560A..29R",3,,7834780,,,40.0,,,0
"2013A&A...560A..29R",2,,5644597,,,93.0,20.0,0,0
"2013A&A...560A..29R",2,,8622935,,,60.0,30.0,0,0
"2013A&A...560A..29R",2,,7893589,,,59.0,30.0,0,0
"2014A&A...564A..39S",4,,3112339,,,50.0,,,0
"2013A&A...560A..29R",3,,3112339,,,47.0,20.0,0,0
"2013A&A...560A..29R",2,,8622958,,,71.0,30.0,0,0
"2013A&A...560A..29R",3,,7893636,,,160.0,20.0,0,0
"2013A&A...560A..29R",2,,3112387,,,59.0,30.0,0,0
"2013A&A...560A..29R",2,,3112395,,,40.0,,,0
